id,title,url,publisher,sourceType,retrievedAt
characters-1-wiki,Rick Sanchez,https://rickandmorty.fandom.com/wiki/Rick_Sanchez,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-1-api,Rick Sanchez API record,https://rickandmortyapi.com/api/character/1,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-2-wiki,Morty Smith,https://rickandmorty.fandom.com/wiki/Morty_Smith,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-2-api,Morty Smith API record,https://rickandmortyapi.com/api/character/2,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-3-wiki,Summer Smith,https://rickandmorty.fandom.com/wiki/Summer_Smith,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-3-api,Summer Smith API record,https://rickandmortyapi.com/api/character/3,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-4-wiki,Beth Smith,https://rickandmorty.fandom.com/wiki/Beth_Smith,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-4-api,Beth Smith API record,https://rickandmortyapi.com/api/character/4,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-5-wiki,Jerry Smith,https://rickandmorty.fandom.com/wiki/Jerry_Smith,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-5-api,Jerry Smith API record,https://rickandmortyapi.com/api/character/5,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-6-wiki,Abadongian Princess,https://rickandmorty.fandom.com/wiki/Abadongian_Princess,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-6-api,Abadango Cluster Princess API record,https://rickandmortyapi.com/api/character/6,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-7-wiki,Abrodolph Lincoler,https://rickandmorty.fandom.com/wiki/Abrodolph_Lincoler,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-7-api,Abradolf Lincler API record,https://rickandmortyapi.com/api/character/7,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-8-wiki,Adjudicator Rick,https://rickandmorty.fandom.com/wiki/Adjudicator_Rick,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-8-api,Adjudicator Rick API record,https://rickandmortyapi.com/api/character/8,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-9-wiki,Pavel Bartek,https://rickandmorty.fandom.com/wiki/Pavel_Bartek,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-9-api,Agency Director API record,https://rickandmortyapi.com/api/character/9,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-10-wiki,Alan Rails,https://rickandmorty.fandom.com/wiki/Alan_Rails,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-10-api,Alan Rails API record,https://rickandmortyapi.com/api/character/10,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-11-wiki,Albert Einstein,https://rickandmorty.fandom.com/wiki/Albert_Einstein,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-11-api,Albert Einstein API record,https://rickandmortyapi.com/api/character/11,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-12-wiki,Alexander,https://rickandmorty.fandom.com/wiki/Alexander,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-12-api,Alexander API record,https://rickandmortyapi.com/api/character/12,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-13-wiki,Alien Googah,https://rickandmorty.fandom.com/wiki/Alien_Googah,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-13-api,Alien Googah API record,https://rickandmortyapi.com/api/character/13,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-14-wiki,Alien Morty,https://rickandmorty.fandom.com/wiki/Alien_Morty,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-14-api,Alien Morty API record,https://rickandmortyapi.com/api/character/14,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-15-wiki,Alien Rick,https://rickandmorty.fandom.com/wiki/Alien_Rick,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-15-api,Alien Rick API record,https://rickandmortyapi.com/api/character/15,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-16-wiki,Amish Cyborg,https://rickandmorty.fandom.com/wiki/Amish_Cyborg,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-16-api,Amish Cyborg API record,https://rickandmortyapi.com/api/character/16,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-17-wiki,Annie,https://rickandmorty.fandom.com/wiki/Annie,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-17-api,Annie API record,https://rickandmortyapi.com/api/character/17,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-18-wiki,Antenna Morty,https://rickandmorty.fandom.com/wiki/Antenna_Morty,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-18-api,Antenna Morty API record,https://rickandmortyapi.com/api/character/18,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-19-wiki,Antenna Rick,https://rickandmorty.fandom.com/wiki/Antenna_Rick,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-19-api,Antenna Rick API record,https://rickandmortyapi.com/api/character/19,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-20-wiki,Ants in my Eyes Johnson,https://rickandmorty.fandom.com/wiki/Ants_in_my_Eyes_Johnson,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-20-api,Ants in my Eyes Johnson API record,https://rickandmortyapi.com/api/character/20,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-21-wiki,Aqua Morty,https://rickandmorty.fandom.com/wiki/Aqua_Morty,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-21-api,Aqua Morty API record,https://rickandmortyapi.com/api/character/21,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-22-wiki,Aqua Rick,https://rickandmorty.fandom.com/wiki/Aqua_Rick,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-22-api,Aqua Rick API record,https://rickandmortyapi.com/api/character/22,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-23-wiki,Harolds,https://rickandmorty.fandom.com/wiki/Harolds,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-23-api,Arcade Alien API record,https://rickandmortyapi.com/api/character/23,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-24-wiki,Armagheadon,https://rickandmorty.fandom.com/wiki/Armagheadon,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-24-api,Armagheadon API record,https://rickandmortyapi.com/api/character/24,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-25-wiki,Armothy,https://rickandmorty.fandom.com/wiki/Armothy,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-25-api,Armothy API record,https://rickandmortyapi.com/api/character/25,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-26-wiki,Arthricia,https://rickandmorty.fandom.com/wiki/Arthricia,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-26-api,Arthricia API record,https://rickandmortyapi.com/api/character/26,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-27-wiki,Artist Morty,https://rickandmorty.fandom.com/wiki/Artist_Morty,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-27-api,Artist Morty API record,https://rickandmortyapi.com/api/character/27,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-28-wiki,Attila Starwar,https://rickandmorty.fandom.com/wiki/Attila_Starwar,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-28-api,Attila Starwar API record,https://rickandmortyapi.com/api/character/28,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-29-wiki,Baby Legs,https://rickandmorty.fandom.com/wiki/Baby_Legs,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-29-api,Baby Legs API record,https://rickandmortyapi.com/api/character/29,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-30-wiki,Poopy Jr.,https://rickandmorty.fandom.com/wiki/Poopy_Jr.,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-30-api,Baby Poopybutthole API record,https://rickandmortyapi.com/api/character/30,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-31-wiki,Baby Wizard,https://rickandmorty.fandom.com/wiki/Baby_Wizard,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-31-api,Baby Wizard API record,https://rickandmortyapi.com/api/character/31,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-32-wiki,Bearded Lady,https://rickandmorty.fandom.com/wiki/Bearded_Lady,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-32-api,Bearded Lady API record,https://rickandmortyapi.com/api/character/32,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-33-wiki,Beebo,https://rickandmorty.fandom.com/wiki/Beebo,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-33-api,Beebo API record,https://rickandmortyapi.com/api/character/33,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-34-wiki,Benjamin,https://rickandmorty.fandom.com/wiki/Benjamin,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-34-api,Benjamin API record,https://rickandmortyapi.com/api/character/34,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
characters-35-wiki,Bepisians,https://rickandmorty.fandom.com/wiki/Bepisians,Rick and Morty Wiki,wiki,2026-06-26T22:31:04.379Z
characters-35-api,Bepisian API record,https://rickandmortyapi.com/api/character/35,Rick and Morty API,official-api,2026-06-26T22:31:04.379Z
